profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,4,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,4,lib/tests/core/pattern-alias.zy,recursive
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,5,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,5,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,5,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,6,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,6,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,6,lib/tests/core/pattern-alias.zy,jobs
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,7,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,7,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,7,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,explicit
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,0,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,0,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,0,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,1,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,1,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,1,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,1,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,2,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,2,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,2,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,2,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,3,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,3,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,3,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,3,lib/tests/core/pattern-alias.zy,explicit
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,4,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,4,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,4,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,4,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,5,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,5,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,5,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,5,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,6,lib/tests/core/pattern-alias.zy,explicit
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,6,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,6,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,6,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,True,"[2, 0, 0, 1]",2464,0,2468,7,lib/tests/core/pattern-alias.zy,recursive
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,7,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,7,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,7,lib/tests/core/pattern-alias.zy,explicit
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,0,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,0,lib/tests/core/native-frames.zy,jobs
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,0,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,0,lib/tests/core/native-frames.zy,recursive
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,1,lib/tests/core/native-frames.zy,jobs
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,1,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,1,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,1,lib/tests/core/native-frames.zy,original
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,2,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,2,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,2,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,2,lib/tests/core/native-frames.zy,jobs
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,3,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,3,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,3,lib/tests/core/native-frames.zy,jobs
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,3,lib/tests/core/native-frames.zy,explicit
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,4,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,4,lib/tests/core/native-frames.zy,jobs
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,4,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,4,lib/tests/core/native-frames.zy,recursive
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,5,lib/tests/core/native-frames.zy,jobs
