profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
debug,0,268625,343,15,4861710,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,jobs
debug,0,260708,343,15,5206957,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,explicit
debug,0,256502,343,15,5105998,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,recursive
debug,0,265916,343,15,4987333,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,original
debug,0,286086,343,15,5435417,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,explicit
debug,0,260376,343,15,5103459,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,recursive
debug,0,266918,343,15,4900918,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,original
debug,0,265832,343,15,4733582,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,jobs
debug,0,351583,343,15,5267876,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,recursive
debug,0,274166,343,15,5189790,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,original
debug,0,269959,343,15,4758835,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,jobs
debug,0,272457,343,15,5276835,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,explicit
debug,0,274416,343,15,5146791,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,original
debug,0,268750,343,15,4755960,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,jobs
debug,0,267750,343,15,5388080,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,explicit
debug,0,256708,343,15,5089125,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,recursive
debug,0,419792,343,15,6396832,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,jobs
debug,0,367832,343,15,6055542,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,explicit
debug,0,261706,343,15,5113375,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,recursive
debug,0,261040,343,15,4865249,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,original
debug,0,253333,343,15,5187040,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,explicit
debug,0,276832,343,15,5282041,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,recursive
debug,0,261543,343,15,4880168,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,original
debug,0,264626,343,15,4734499,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,jobs
debug,0,262667,343,15,5133123,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,recursive
debug,0,280209,343,15,4967209,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,original
debug,0,261205,343,15,4750709,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,jobs
