profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
release,0,505423,343,69,4363915,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,baseline
release,0,540291,343,69,3786714,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,explicit
release,0,574869,343,69,3881455,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,recursive
release,0,735420,343,69,4600418,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,original
release,0,554210,343,69,3644123,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,jobs
release,0,507832,343,69,3823539,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,explicit
release,0,517125,343,69,4051627,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,recursive
release,0,499219,343,69,4388213,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,original
release,0,516790,343,69,3487789,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,jobs
release,0,520745,343,69,3784628,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,baseline
release,0,562164,343,69,4203170,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,recursive
release,0,551293,343,69,4480002,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,original
release,0,503456,343,69,3125206,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,jobs
release,0,541790,343,69,4132547,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,baseline
release,0,540424,343,69,4287081,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,explicit
release,0,574125,343,69,4780589,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,original
release,0,584378,343,69,3289289,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,jobs
release,0,608788,343,69,4627707,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,baseline
release,0,573043,343,69,4288127,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,explicit
release,0,556084,343,69,3739662,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,recursive
release,0,400917,343,69,2967000,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,jobs
release,0,478705,343,69,3870206,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,baseline
release,0,526958,343,69,4271294,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,explicit
release,0,530375,343,69,3964662,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,recursive
release,0,536584,343,69,4324667,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,original
release,0,535878,343,69,4112538,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,baseline
