experiment,profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,7,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,7,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,7,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,7,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,0,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,0,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,0,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,0,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,1,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,1,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,1,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,1,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,2,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,2,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,2,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,2,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,3,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,3,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,3,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,3,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,4,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,4,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,4,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,4,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,5,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,5,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,5,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,5,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,6,lib/tests/core/native-frames.zy,direct
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,6,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,6,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,6,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,7,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,7,lib/tests/core/native-frames.zy,baseline
selected,debug,0,300,False,"[104, 26, 8, 0]",45874,4,80256,7,lib/tests/core/native-frames.zy,trim
selected,debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,7,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,0,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,0,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,0,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,0,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,1,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,1,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,1,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,1,lib/tests/core/native-frames.zy,baseline
