experiment,profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
selected,debug,0,222960,343,14,4595499,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,direct
selected,debug,0,220419,343,14,4696210,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224707,343,14,4774793,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,trim
selected,debug,0,226584,343,14,4769833,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,direct
selected,debug,0,224540,343,14,4718373,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,trim_direct
selected,debug,0,233377,343,14,4937627,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,baseline
selected,debug,0,296042,343,14,5015375,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,direct
selected,debug,0,246417,343,14,4748208,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,trim_direct
selected,debug,0,239207,343,14,4794332,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,baseline
selected,debug,0,238167,343,14,4883794,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,trim
selected,debug,0,229416,343,14,4767456,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,trim_direct
selected,debug,0,239456,343,14,4785498,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,baseline
selected,debug,0,234666,343,14,4791457,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,trim
selected,debug,0,220333,343,14,4686749,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,direct
selected,debug,0,228751,343,14,4896084,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,baseline
selected,debug,0,246001,343,14,4916457,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,trim
selected,debug,0,221832,343,14,4675792,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,direct
selected,debug,0,231376,343,14,4755084,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224835,343,14,4853377,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,trim
selected,debug,0,221331,343,14,4742043,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,direct
selected,debug,0,220667,343,14,4687169,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,trim_direct
selected,debug,0,226707,343,14,4826124,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,baseline
selected,debug,0,227375,343,14,4841793,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,direct
selected,debug,0,220419,343,14,4630333,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,trim_direct
selected,debug,0,220834,343,14,4726040,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,baseline
selected,debug,0,223249,343,14,4862419,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,trim
selected,debug,0,241959,343,14,4639583,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,trim_direct
selected,debug,0,221039,343,14,4761293,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,baseline
selected,debug,0,225834,343,14,4830416,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,trim
selected,debug,0,228294,343,14,4810667,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,direct
selected,debug,0,226004,343,14,4779791,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,baseline
selected,debug,0,229168,343,14,5001876,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,trim
